Symbol,MarketCap,MarketCapFormatted
CTBI,984052864,$984.05M
OPK,982657600,$982.66M
CRCT,982515776,$982.52M
NMFC,978441984,$978.44M
PLSE,975853056,$975.85M
CRON,972448128,$972.45M
OSBC,971220544,$971.22M
MSEX,963835712,$963.84M
FTRE,961883968,$961.88M
BLDP,961628736,$961.63M
EYPT,958675968,$958.68M
RZLV,956983040,$956.98M
GOGO,955720000,$955.72M
YB,952477760,$952.48M
UFCS,946836736,$946.84M
GLIBK,938553024,$938.55M
GLIBA,937425408,$937.43M
ANAB,936424064,$936.42M
PEY,936282368,$936.28M
GLUE,935091008,$935.09M
TDUP,933561856,$933.56M
BHRB,931167296,$931.17M
RZLT,922646464,$922.65M
ULCC,921977728,$921.98M
EVGO,920868416,$920.87M
RPD,918695296,$918.70M
FLGT,914697664,$914.70M
RCAT,913399168,$913.40M
BBSI,912236544,$912.24M
DAWN,910229760,$910.23M
DAKT,909942016,$909.94M
TBPH,909570176,$909.57M
ASST,908899712,$908.90M
FSUN,906651520,$906.65M
EVER,906093760,$906.09M
CHY,905626048,$905.63M
MLTX,904721344,$904.72M
AVO,903218240,$903.22M
ALNT,898005312,$898.01M
ASPI,896755136,$896.76M
SCSC,895693568,$895.69M
FMBH,893896128,$893.90M
WLFC,890473600,$890.47M
CRMD,885588864,$885.59M
BETR,883011456,$883.01M
ABUS,876997504,$877.00M
UVSP,875628160,$875.63M
SVRA,874911744,$874.91M
CGBD,871919680,$871.92M
GHRS,868411520,$868.41M
AEBI,866228032,$866.23M
YDES,863886656,$863.89M
CCOI,862076352,$862.08M
PNTG,861383616,$861.38M
CMPX,859073920,$859.07M
SKYT,855692672,$855.69M
AVBP,854111360,$854.11M
WOOF,853344320,$853.34M
EMBC,850958528,$850.96M
GLDD,850671360,$850.67M
CHI,850398208,$850.40M
SLRC,844505728,$844.51M
ECX,841930304,$841.93M
AMAL,841809344,$841.81M
TYRA,839543040,$839.54M
ODP,839384640,$839.38M
ESQ,838304640,$838.30M
CCCX,835923008,$835.92M
STRD,833881920,$833.88M
SPRY,831316800,$831.32M
BTQ,824824832,$824.82M
CFFN,820114240,$820.11M
CDNA,819579136,$819.58M
SENEA,818820416,$818.82M
SENEB,818820352,$818.82M
REAX,817547968,$817.55M
RDVT,816371648,$816.37M
MOFG,811280128,$811.28M
BTBT,810010496,$810.01M
BCAX,809677248,$809.68M
ATLC,808103424,$808.10M
AHG,807325312,$807.33M
QNST,804169856,$804.17M
RAPT,799458688,$799.46M
SSYS,798009472,$798.01M
MOBBW,794443200,$794.44M
MRTN,793193792,$793.19M
SIFY,789342912,$789.34M
GDEN,788622144,$788.62M
FORD,788510272,$788.51M
ORGO,788124352,$788.12M
NTGR,787892416,$787.89M
BJRI,786860544,$786.86M
AMSF,786687296,$786.69M
GILT,786673600,$786.67M
VALN,786432448,$786.43M
VIR,783273920,$783.27M
CRESY,782548864,$782.55M
CTLP,777505792,$777.51M
ERII,770744000,$770.74M
SWIM,769928128,$769.93M
NBBK,768252224,$768.25M
UDMY,762622976,$762.62M
RIGL,761267328,$761.27M
VINP,758935872,$758.94M
SIBN,755875712,$755.88M
GRPN,755594112,$755.59M
AMWD,754396096,$754.40M
WYFI,753886272,$753.89M
RING,753595008,$753.60M
BFST,747787264,$747.79M
FSBC,741020480,$741.02M
MBWM,740348928,$740.35M
TRST,738803200,$738.80M
GERN,737400576,$737.40M
CCNE,736316480,$736.32M
OWLS,733534720,$733.53M
ERAS,731976448,$731.98M
NBN,730934272,$730.93M
TIPT,726972160,$726.97M
APOG,723624768,$723.62M
FDUS,719442944,$719.44M
GSM,718509568,$718.51M
ATXS,717556416,$717.56M
EEMA,717237056,$717.24M
YDKG,715085632,$715.09M
OLPX,714237760,$714.24M
SCHL,710672640,$710.67M
DGICB,707469504,$707.47M
DGICA,707115520,$707.12M
REPL,705205568,$705.21M
CTKB,703256576,$703.26M
ESPR,702936896,$702.94M
GDYN,701339008,$701.34M
DNUT,698904000,$698.90M
CCBG,697602880,$697.60M
WRLD,695354240,$695.35M
TREE,693673664,$693.67M
ACDC,690927936,$690.93M
SABR,689022016,$689.02M
PROK,687328384,$687.33M
VTYX,681843520,$681.84M
ARVN,678850816,$678.85M
DCBO,677712896,$677.71M
GPRE,676701504,$676.70M
MPB,676473344,$676.47M
PSNL,674913088,$674.91M
SGML,674550592,$674.55M
CBRL,674062720,$674.06M
THFF,672642560,$672.64M
ORRF,671537600,$671.54M
CAC,667750912,$667.75M
AIOT,667106880,$667.11M
MCBS,667060992,$667.06M
MGTX,665667520,$665.67M
SNCY,664731520,$664.73M
FWRD,663400000,$663.40M
CRSR,661807552,$661.81M
NB,659416576,$659.42M
AQST,657596736,$657.60M
CTMX,657409344,$657.41M
GSBC,656919808,$656.92M
CRVS,654960064,$654.96M
DSP,651806912,$651.81M
TBLD,648054080,$648.05M
ADAM,645700608,$645.70M
RR,644654592,$644.65M
CD,644488768,$644.49M
SVA,642436736,$642.44M
AEVA,641653440,$641.65M
ABL,640281216,$640.28M
SERV,638676032,$638.68M
PRAA,637122112,$637.12M
AXG,636471744,$636.47M
CGNT,631182784,$631.18M
TH,627613248,$627.61M
GOSS,627246400,$627.25M
AMRK,626582592,$626.58M
MYGN,625464064,$625.46M
SPT,624699072,$624.70M
APEI,624111872,$624.11M
AEHR,622336704,$622.34M
FDMT,616487488,$616.49M
BCAL,615423296,$615.42M
ADTN,615313408,$615.31M
SPFI,614330816,$614.33M
SMBC,613991936,$613.99M
PRME,608320896,$608.32M
FCBC,604574976,$604.57M
NUTX,604452160,$604.45M
BWMN,600589056,$600.59M
CEVA,599484416,$599.48M
AIP,599341376,$599.34M
SRDX,594924096,$594.92M
BMBL,594468096,$594.47M
ONEQ,594330048,$594.33M
OFIX,593993600,$593.99M
FISI,593247232,$593.25M
MPLT,591604992,$591.60M
CEPF,590996544,$591.00M
FOXF,590235136,$590.24M
RGNX,589252736,$589.25M
POET,587717504,$587.72M
UXIN,587582144,$587.58M
OPT,583100736,$583.10M
ACIC,582745408,$582.75M
APPS,582629696,$582.63M
ADSE,582378240,$582.38M
MNPR,581153600,$581.15M
ASMB,580647168,$580.65M
BLMN,578624064,$578.62M
OLMA,576743296,$576.74M
CCD,575742848,$575.74M
SFIX,572923072,$572.92M
ALTI,572591168,$572.59M
SHEN,572587584,$572.59M
CWCO,572412864,$572.41M
AOSL,565438784,$565.44M
DEFT,564512640,$564.51M
ELVR,563865984,$563.87M
NAGE,558251200,$558.25M
ALRS,551629440,$551.63M
NWPX,551593984,$551.59M
MGPI,550238208,$550.24M
ALMS,549957696,$549.96M
GOOD,549793408,$549.79M
GAIN,548308672,$548.31M
PRTA,546887744,$546.89M
CASS,544960192,$544.96M
TCMD,544318144,$544.32M
DJCO,544014400,$544.01M
RBBN,543926720,$543.93M
VSTM,541195200,$541.20M
TATT,539126208,$539.13M
SHBI,538836800,$538.84M
TALK,538382400,$538.38M
OMER,535599328,$535.60M
WASH,529361568,$529.36M
PFM,529042784,$529.04M
MNRO,522942464,$522.94M
DVLT,521030880,$521.03M
ZVRA,519626240,$519.63M
PLAY,518958496,$518.96M
UROY,518642368,$518.64M
FFIC,518161280,$518.16M
NRIM,518026208,$518.03M
FIP,515184448,$515.18M
TUR,514102464,$514.10M
ORBS,512707200,$512.71M
AROW,511195840,$511.20M
EU,511191232,$511.19M
GBFH,510779168,$510.78M
CLMB,510533088,$510.53M
DOMO,509617984,$509.62M
CMPS,507930176,$507.93M
BVS,507011936,$507.01M
ANGO,506758048,$506.76M
TRNS,506439488,$506.44M
EGBN,505984800,$505.98M
CCAP,505317888,$505.32M
CGEM,505102048,$505.10M
VLGEA,504160224,$504.16M
TRON,503946176,$503.95M
FUFU,502776576,$502.78M
FMNB,500410816,$500.41M
VREX,499079328,$499.08M
STKL,498431872,$498.43M
ACNB,498277792,$498.28M
MCTA,497214976,$497.21M
PACB,493642176,$493.64M
TCPC,492926400,$492.93M
BYND,489855808,$489.86M
MBUU,489181856,$489.18M
AVXL,488735904,$488.74M
UNTY,487615808,$487.62M
XNET,486961600,$486.96M
ARKO,486952480,$486.95M
CLNE,486848224,$486.85M
GEVO,484617600,$484.62M
NBP,482987104,$482.99M
ANGI,482423456,$482.42M
DBVT,482195904,$482.20M
OSPN,481803648,$481.80M
AXTI,481544320,$481.54M
SCVL,479571840,$479.57M
CBLL,478534368,$478.53M
EOLS,477721792,$477.72M
ABAT,476339904,$476.34M
RSVR,476170528,$476.17M
FULC,475701056,$475.70M
CHW,474512416,$474.51M
PFIS,473843744,$473.84M
PERI,472892224,$472.89M
FRPH,469286048,$469.29M
GIW,468609120,$468.61M
AKBA,468446688,$468.45M
GTEN,466611904,$466.61M
YORW,464796704,$464.80M
AIRTP,462190368,$462.19M
TLS,460226976,$460.23M
ANSC,459927904,$459.93M
CBNK,458949600,$458.95M
BCYC,457828128,$457.83M
RRBI,457224608,$457.22M
PGC,456508512,$456.51M
CAN,455188288,$455.19M
FBYD,454984896,$454.98M
ETON,454289088,$454.29M
GLRE,453175328,$453.18M
NMRA,449469728,$449.47M
DDI,448419904,$448.42M
COFS,447406752,$447.41M
CCSI,446635712,$446.64M
CNCK,446077504,$446.08M
SOHU,444667264,$444.67M
BNTC,442991296,$442.99M
BACQ,442807872,$442.81M
NFBK,442677856,$442.68M
CMCO,442415232,$442.42M
CLPT,440561280,$440.56M
FBIZ,440115968,$440.12M
CYRX,438603584,$438.60M
TSSI,437896768,$437.90M
BAND,437679488,$437.68M
ENGN,436665792,$436.67M
SNDL,436451040,$436.45M
PRTH,435544256,$435.54M
SIGA,435396736,$435.40M
ALT,435107744,$435.11M
GLAD,433645696,$433.65M
VFF,433191616,$433.19M
CDZI,432172416,$432.17M
OXLCO,431961856,$431.96M
NPCE,431002048,$431.00M
CLFD,430336576,$430.34M
ALLT,429050944,$429.05M
TLNC,427017888,$427.02M
PUBM,425855840,$425.86M
ATEX,424305856,$424.31M
ABSI,424047712,$424.05M
POM,424031520,$424.03M
ESEA,423607232,$423.61M
CIVB,423338336,$423.34M
ARQQ,421453440,$421.45M
SRTA,421452448,$421.45M
RTAC,421425248,$421.43M
PANL,421029504,$421.03M
WEST,420292192,$420.29M
DSGN,419822880,$419.82M
BMRC,419426592,$419.43M
THH,418887104,$418.89M
MLAB,418751744,$418.75M
MITK,415388160,$415.39M
BCAR,414060032,$414.06M
BRBI,413945568,$413.95M
CWBC,413725920,$413.73M
CMRC,413600672,$413.60M
DRUG,413337824,$413.34M
ASTL,411560288,$411.56M
TWFG,409531552,$409.53M
GRVY,408456352,$408.46M
NEXN,407771264,$407.77M
CGC,405248768,$405.25M
XRPN,404568256,$404.57M
XOMA,404184480,$404.18M
GBLI,403935520,$403.94M
SFST,403235104,$403.24M
OTLY,402131456,$402.13M
NATH,401221824,$401.22M
RXST,400064896,$400.06M
BYRN,399198656,$399.20M
GDEV,398861984,$398.86M
OPAL,398808992,$398.81M
VSTA,398412128,$398.41M
PRTC,397207104,$397.21M
BSRR,396923296,$396.92M
BRCB,396586080,$396.59M
BSVN,395411008,$395.41M
VERI,394765920,$394.77M
ANNX,392215488,$392.22M
CCIX,391922144,$391.92M
CVGW,391738592,$391.74M
ADV,391526304,$391.53M
FRBA,390517568,$390.52M
ZUMZ,389385088,$389.39M
NVA,389330208,$389.33M
PCAP,388782496,$388.78M
TOI,387351840,$387.35M
CARE,387185888,$387.19M
TITN,386811680,$386.81M
ULH,386583520,$386.58M
RDAG,385500000,$385.50M
OCGN,384049664,$384.05M
NCMI,383769472,$383.77M
WENN,383441632,$383.44M
GPAT,382748768,$382.75M
TACO,382128448,$382.13M
ALF,381656256,$381.66M
ZEUS,380495168,$380.50M
SWBI,378678816,$378.68M
PDLB,378497760,$378.50M
NGNE,378063072,$378.06M
GCBC,377825312,$377.83M
VBNK,377648128,$377.65M
TSAT,377524896,$377.52M
CLLS,376656384,$376.66M
SGHT,375918016,$375.92M
ANPA,375000000,$375.00M
BGIN,374479968,$374.48M
TTGT,372334784,$372.33M
WTBA,371172576,$371.17M
NATR,370381088,$370.38M
CRNC,369507808,$369.51M
ADUR,366288864,$366.29M
CCRN,364618272,$364.62M
AUTL,364616288,$364.62M
XRX,363633632,$363.63M
PHOE,362879968,$362.88M
MTLS,362105536,$362.11M
SY,361027776,$361.03M
CHAC,360208448,$360.21M
BWFG,358146208,$358.15M
SDHI,358134624,$358.13M
CAEP,357815648,$357.82M
RMNI,356915264,$356.92M
DHIL,356912160,$356.91M
AIRS,356811584,$356.81M
GALT,356570048,$356.57M
RWAY,355920256,$355.92M
CCII,355259712,$355.26M
TACH,354660000,$354.66M
ACTG,354009600,$354.01M
OBT,353817600,$353.82M
BDCI,353721088,$353.72M
NRC,351980768,$351.98M
AURA,351490880,$351.49M
GIG,350000000,$350.00M
AIRO,349618976,$349.62M
CZNC,348916704,$348.92M
SMLR,348677568,$348.68M
CARL,348633024,$348.63M
BLZR,348562496,$348.56M
MSBI,348491328,$348.49M
SLP,348400256,$348.40M
MBVI,348104992,$348.10M
ENTA,347966272,$347.97M
EM,347411552,$347.41M
AMCX,347353664,$347.35M
TECX,346999840,$347.00M
OTGA,346976256,$346.98M
BRR,346510208,$346.51M
VALU,346209568,$346.21M
DMAA,346114784,$346.11M
SBC,344658528,$344.66M
PTLO,344555776,$344.56M
OYSE,343212192,$343.21M
RCKT,343064448,$343.06M
AXIN,342048032,$342.05M
FMAO,340036096,$340.04M
AMRN,339752448,$339.75M
EPRX,337843424,$337.84M
PBFS,337222688,$337.22M
NNDM,336277856,$336.28M
PEPG,336125024,$336.13M
CEPT,336073632,$336.07M
FCEL,335639360,$335.64M
TRDA,335564832,$335.56M
ARTNA,335312960,$335.31M
SLDB,335014016,$335.01M
CTRN,334312928,$334.31M
MVBF,334057664,$334.06M
CBK,333825888,$333.83M
MTRX,332994400,$332.99M
TVA,332700000,$332.70M
BEAG,332283968,$332.28M
VACH,332062496,$332.06M
WEYS,331901952,$331.90M
ACIU,330973984,$330.97M
RBB,330805984,$330.81M
DRTS,328776992,$328.78M
AREC,328519136,$328.52M
EGAN,328401056,$328.40M
CEPV,326801184,$326.80M
XFOR,326138848,$326.14M
FERA,325798656,$325.80M
CUB,325373344,$325.37M
BLUW,325018496,$325.02M
AENT,324980608,$324.98M
USCB,324719200,$324.72M
SIMA,324453344,$324.45M
SLN,322607872,$322.61M
MLAC,322012064,$322.01M
PACH,320993728,$320.99M
BBCP,320685824,$320.69M
BWAY,319666144,$319.67M
PALI,318866912,$318.87M
CTNM,318089376,$318.09M
SZZL,317978880,$317.98M
OBA,317831264,$317.83M
NPAC,316901408,$316.90M
CRAQ,316391616,$316.39M
DENN,316203808,$316.20M
PLTS,316034400,$316.03M
SVAC,315866688,$315.87M
VCIC,315626688,$315.63M
DCTH,315351520,$315.35M
ALDF,314810944,$314.81M
NFE,314505728,$314.51M
WILC,314464864,$314.46M
CNDT,313423456,$313.42M
CERS,311181760,$311.18M
NIU,311076256,$311.08M
GEOS,310581856,$310.58M
POLE,309855008,$309.86M
BCML,309716736,$309.72M
PCB,309672256,$309.67M
API,308919296,$308.92M
DMAC,308819200,$308.82M
ATII,307144192,$307.14M
TBRG,306483520,$306.48M
DMAAU,306010912,$306.01M
NVEC,305549536,$305.55M
MCFT,305336800,$305.34M
ALDX,303822016,$303.82M
RPAY,303620576,$303.62M
FSBW,303395072,$303.40M
ATNI,302859232,$302.86M
MKLY,302451936,$302.45M
EFTY,302052224,$302.05M
PAYS,300496544,$300.50M
NKLR,300133792,$300.13M
CPZ,299783584,$299.78M
QSI,299530656,$299.53M
MLACU,296944992,$296.94M
PLBC,296176224,$296.18M
GSRF,296113376,$296.11M
SVC,294150880,$294.15M
BLZE,293861760,$293.86M
SOPH,293762176,$293.76M
PKOH,293413696,$293.41M
GRRR,293337056,$293.34M
NEWT,290461824,$290.46M
RLMD,289667808,$289.67M
DRDBU,289333696,$289.33M
FNLC,289009696,$289.01M
OPRX,288184480,$288.18M
WSBF,288112480,$288.11M
SNWV,286945728,$286.95M
NHIC,286344352,$286.34M
SPOK,286314528,$286.31M
GTERA,285470912,$285.47M
AACB,284222240,$284.22M
CUBWU,284000352,$284.00M
TTSH,283896768,$283.90M
AVNW,283836416,$283.84M
STRT,283800512,$283.80M
MREO,283254400,$283.25M
WTF,283153952,$283.15M
DH,283051264,$283.05M
PLMKU,282993760,$282.99M
BACC,282977056,$282.98M
APAD,282666656,$282.67M
OFLX,282540096,$282.54M
UCFI,282356096,$282.36M
SVACU,282133696,$282.13M
NODK,281886624,$281.89M
ASLE,281694496,$281.69M
BZAI,281359552,$281.36M
PUI,280605184,$280.61M
CGCT,280140000,$280.14M
RXT,280130944,$280.13M
BIOA,279669280,$279.67M
MNTK,279517632,$279.52M
MVIS,279469056,$279.47M
FSTR,279265312,$279.27M
PYXS,278943680,$278.94M
AUDC,278655168,$278.66M
SSP,277045280,$277.05M
ATIIU,276973760,$276.97M
AACBU,276924992,$276.92M
VOXR,276765248,$276.77M
WW,276637920,$276.64M
FEIM,276538080,$276.54M
ALLO,276418080,$276.42M
TBCH,275761280,$275.76M
AVBH,275417952,$275.42M
NECB,275070528,$275.07M
NAKA,274818848,$274.82M
TVAI,274677920,$274.68M
CZFS,274011520,$274.01M
AVTX,274004256,$274.00M
EGHT,273823616,$273.82M
GSRFU,273624640,$273.62M
ACRS,273030016,$273.03M
ZURA,271775488,$271.78M
FRST,271581120,$271.58M
REKR,271114976,$271.11M
CURI,270657984,$270.66M
BRY,270072672,$270.07M
REFI,269342304,$269.34M
QTRX,268119952,$268.12M
TOYO,267817632,$267.82M
PCYO,267535504,$267.54M
RMR,267181520,$267.18M
GDC,266529232,$266.53M
TSBK,265878544,$265.88M
NXXT,265799120,$265.80M
GSIT,265370032,$265.37M
FHTX,265225536,$265.23M
CV,265208944,$265.21M
AIRJ,263949232,$263.95M
THRY,263204416,$263.20M
CAPR,262856832,$262.86M
PDYN,261052304,$261.05M
CDRO,259696240,$259.70M
FDBC,259412544,$259.41M
OACC,259348224,$259.35M
AFRI,258793312,$258.79M
ETHZ,258629920,$258.63M
VNDA,257070336,$257.07M
BDTX,256777888,$256.78M
DFDV,256766848,$256.77M
ACB,256294512,$256.29M
MPAA,256014432,$256.01M
ALCO,255507936,$255.51M
NWFL,255228704,$255.23M
PMTR,254820640,$254.82M
CADL,254728128,$254.73M
PKBK,254522384,$254.52M
EDIT,253808496,$253.81M
PLMK,252610736,$252.61M
GASS,252325712,$252.33M
CHMG,251743408,$251.74M
SGMT,251717184,$251.72M
NVX,251439136,$251.44M
FACT,251240656,$251.24M
PBYI,249435984,$249.44M
FINW,248904704,$248.90M
SIMAU,248400000,$248.40M
SVCCU,248139040,$248.14M
FUND,247954864,$247.95M
ANTA,246482768,$246.48M
SSSS,246167104,$246.17M
ABEO,245486864,$245.49M
OVLY,245019952,$245.02M
PESI,244267808,$244.27M
ACHV,243811680,$243.81M
VMD,243694784,$243.69M
ALMU,243623664,$243.62M
CVRX,242967712,$242.97M
GPRO,241955392,$241.96M
WNEB,241702688,$241.70M
NETD,241680448,$241.68M
DRDB,240350000,$240.35M
PVBC,240069776,$240.07M
MCGA,240057136,$240.06M
CCCC,239378608,$239.38M
ALTS,239281264,$239.28M
AVIR,239068000,$239.07M
RAAQ,238280016,$238.28M
TKNO,238204816,$238.20M
PTNM,238164784,$238.16M
SOCA,237783008,$237.78M
NAUT,237397808,$237.40M
RANI,237318208,$237.32M
FUNC,237202096,$237.20M
CURR,237057824,$237.06M
OBIO,236322480,$236.32M
DAAQ,235980016,$235.98M
AARD,235704960,$235.70M
MDWD,235657936,$235.66M
FLX,234728704,$234.73M
PNRG,234421792,$234.42M
WALD,232491248,$232.49M
MYFW,231598704,$231.60M
TCX,231289392,$231.29M
MFIN,231164784,$231.16M
ELVA,230527216,$230.53M
ATGL,230475008,$230.48M
PRQR,228599072,$228.60M
TDAC,228495232,$228.50M
TNYA,228113072,$228.11M
BPRN,227852368,$227.85M
TLSI,227837264,$227.84M
FVCB,227381152,$227.38M
ONEW,227221504,$227.22M
RCKY,227095552,$227.10M
CFFI,226935312,$226.94M
PRE,226679040,$226.68M
ASUR,226553216,$226.55M
FBLA,225847568,$225.85M
SNFCA,225618864,$225.62M
NUAI,225514704,$225.51M
CABA,225260576,$225.26M
RGCO,225096208,$225.10M
OABI,224570400,$224.57M
SVCC,223714464,$223.71M
TWIN,223158352,$223.16M
ONCH,222956272,$222.96M
VYGR,221288336,$221.29M
ARCT,220765408,$220.77M
BNC,220585376,$220.59M
AZ,218773536,$218.77M
FENC,218757152,$218.76M
FRAF,218621808,$218.62M
CBIO,218508960,$218.51M
BRLT,218292768,$218.29M
USAU,218190800,$218.19M
PAL,217886576,$217.89M
FXNC,217572400,$217.57M
VABK,217395888,$217.40M
NYXH,217153536,$217.15M
EWCZ,216658464,$216.66M
TRVG,215852592,$215.85M
GNFT,215834000,$215.83M
EMPD,215629280,$215.63M
RICK,215572352,$215.57M
RDCM,214095536,$214.10M
FCCO,213388992,$213.39M
CEPO,212790000,$212.79M
OPRT,212701888,$212.70M
PPIH,212644144,$212.64M
TARA,212615808,$212.62M
POWW,212547984,$212.55M
XGN,212017632,$212.02M
SHMD,211867136,$211.87M
FSFG,211047312,$211.05M
PAMT,209887968,$209.89M
GSHR,209859152,$209.86M
SLS,209430192,$209.43M
CXDO,209278432,$209.28M
OMSE,209272096,$209.27M
DERM,209099136,$209.10M
RDNW,208990592,$208.99M
GNLX,208684608,$208.68M
GCL,208374064,$208.37M
TONX,207854416,$207.85M
OGI,206619152,$206.62M
XWIN,206271088,$206.27M
PROF,205864016,$205.86M
SATL,205239520,$205.24M
CRGO,205143376,$205.14M
TRUE,204562112,$204.56M
TLSA,204377296,$204.38M
DOYU,204009088,$204.01M
SKYX,203611376,$203.61M
SWKH,203090272,$203.09M
DYORU,202600000,$202.60M
YDDL,202539008,$202.54M
SMID,202370736,$202.37M
VNME,200200000,$200.20M
CAMP,200182432,$200.18M
TMCI,200074752,$200.07M
SHIP,197839088,$197.84M
OPBK,197528160,$197.53M
FLWS,197367440,$197.37M
MDXH,196504416,$196.50M
VUZI,196309888,$196.31M
FIGX,196182144,$196.18M
RPID,196048736,$196.05M
CRBP,194312096,$194.31M
MRAM,194280368,$194.28M
EFSI,194086080,$194.09M
RNAC,193986896,$193.99M
TWNP,193318288,$193.32M
SDA,193124096,$193.12M
UPXI,192937920,$192.94M
PLCE,192638960,$192.64M
SMTI,192474064,$192.47M
NKSH,191746160,$191.75M
MRNO,191547328,$191.55M
CRNT,191025936,$191.03M
ATLO,190559136,$190.56M
FLXS,190493696,$190.49M
TNXP,190191152,$190.19M
NNOX,189900672,$189.90M
AIIO,189531936,$189.53M
GIFI,188303664,$188.30M
NTWO,187543072,$187.54M
CRBU,187417648,$187.42M
FNKO,186100992,$186.10M
CPSS,185176080,$185.18M
DPRO,184681920,$184.68M
GAMB,184626192,$184.63M
DUOT,181662960,$181.66M
DIBS,181607168,$181.61M
ESCA,181450240,$181.45M
DGXX,181176224,$181.18M
BGL,180833936,$180.83M
PLBY,180680736,$180.68M
BZUN,180397984,$180.40M
UTMD,180241744,$180.24M
STRZ,180072096,$180.07M
SEV,179561344,$179.56M
SANG,178022640,$178.02M
VWAV,178009680,$178.01M
SUIG,177169968,$177.17M
FBRX,175054576,$175.05M
NTHI,175054384,$175.05M
NUTR,174412512,$174.41M
ZEO,174399184,$174.40M
NEOV,174036992,$174.04M
VIOT,173986480,$173.99M
FTLF,172597024,$172.60M
CHEC,172314784,$172.31M
BLFY,171084832,$171.08M
UBFO,171013072,$171.01M
ETHM,170814000,$170.81M
CBFV,170652112,$170.65M
AVX,170395232,$170.40M
DMRC,170087280,$170.09M
MRBK,169997648,$170.00M
MIST,169988528,$169.99M
NIPG,169817632,$169.82M
ESOA,169668960,$169.67M
RANG,168874864,$168.87M
MXCT,168498064,$168.50M
BLNK,168462976,$168.46M
CEP,168404992,$168.40M
OVBC,167569616,$167.57M
BCIC,166785952,$166.79M
SKIN,165753968,$165.75M
OSUR,165704448,$165.70M
TAVI,165417456,$165.42M
FTCI,164792688,$164.79M
ARBE,164085504,$164.09M
ROMA,163802576,$163.80M
WHF,163631344,$163.63M
BHST,163586624,$163.59M
CZWI,163249696,$163.25M
ONEG,162578496,$162.58M
PEBK,162342976,$162.34M
RFAI,161834752,$161.83M
XTKG,161449696,$161.45M
FRD,160877568,$160.88M
RAIL,160557120,$160.56M
NMP,160347168,$160.35M
RGP,160274384,$160.27M
DOGZ,160129136,$160.13M
OXSQ,159255344,$159.26M
ESGL,158967152,$158.97M
PGJ,158646592,$158.65M
CGEN,158187840,$158.19M
MOLN,157824416,$157.82M
ALTO,157778672,$157.78M
EGHA,157170000,$157.17M
EMIS,156969536,$156.97M
RILY,156500800,$156.50M
AVR,156138800,$156.14M
FFAI,156043456,$156.04M
CYPH,155792560,$155.79M
TROO,155766480,$155.77M
APYX,155644560,$155.64M
CRMT,155218496,$155.22M
ECBK,154460640,$154.46M
NVCT,154201680,$154.20M
FNWD,153911392,$153.91M
SXTC,153155936,$153.16M
FCAP,153060480,$153.06M
CHCI,152791520,$152.79M
WLAC,152685504,$152.69M
SGMO,152559872,$152.56M
ARQ,152417168,$152.42M
CHRS,152297488,$152.30M
RELL,151740688,$151.74M
FLD,151686000,$151.69M
BTM,151556992,$151.56M
PMTS,151342480,$151.34M
AURE,151039968,$151.04M
MCRB,150715008,$150.72M
SGC,150126800,$150.13M
BANX,149991472,$149.99M
STRS,149537808,$149.54M
ELTX,148841760,$148.84M
FORR,148793488,$148.79M
AEYE,148775024,$148.78M
CDXS,148583616,$148.58M
RENT,147779072,$147.78M
AGEN,147596240,$147.60M
YMT,147493632,$147.49M
CFBK,146338128,$146.34M
ANIK,145654304,$145.65M
TAVIU,144941648,$144.94M
ANIX,144505264,$144.51M
YOUL,144492144,$144.49M
CRDF,144486048,$144.49M
RCMT,143986208,$143.99M
EMPG,143046400,$143.05M
AMBR,142444592,$142.44M
BFIN,142425552,$142.43M
SAVA,142282960,$142.28M
TAYD,141817824,$141.82M
ATLN,141815120,$141.82M
CTW,141648000,$141.65M
DTIL,141541904,$141.54M
STEX,140534032,$140.53M
MRCC,140179552,$140.18M
MNSB,140110912,$140.11M
SPWR,140036112,$140.04M
ZENA,139799552,$139.80M
STIM,139711280,$139.71M
BEEP,139589984,$139.59M
MRSN,139565104,$139.57M
MBOT,139017152,$139.02M
TTEC,138848656,$138.85M
EXOZ,137550896,$137.55M
ACTU,137368064,$137.37M
SPRO,137311552,$137.31M
SCAG,137263584,$137.26M
CGTX,136825088,$136.83M
ANNA,136282512,$136.28M
SCLX,135551936,$135.55M
ALEC,135347824,$135.35M
OCCI,135254128,$135.25M
AHMA,135248752,$135.25M
SEVN,134826000,$134.83M
CCLD,134822592,$134.82M
BUUU,134734000,$134.73M
SBFG,134731728,$134.73M
BTCS,134067240,$134.07M
NKTX,133893480,$133.89M
TYGO,132912216,$132.91M
VGAS,132848672,$132.85M
BCBP,132484904,$132.48M
SVCO,132364280,$132.36M
EXFY,132115264,$132.12M
ELDN,132060288,$132.06M
EBMT,131767576,$131.77M
GMGI,130743888,$130.74M
AGCC,130588608,$130.59M
SUNS,130586184,$130.59M
CLAR,130182184,$130.18M
CLYM,129550416,$129.55M
ACNT,129140784,$129.14M
SEAT,129102560,$129.10M
SLSN,129082432,$129.08M
ALPS,128911208,$128.91M
BSET,128027360,$128.03M
AMTX,127858656,$127.86M
RMBI,127331616,$127.33M
OSS,126996992,$127.00M
ACOG,126679696,$126.68M
ARAI,126488232,$126.49M
SLNH,126291408,$126.29M
ARAY,125808656,$125.81M
ENTX,125117664,$125.12M
WRAP,124748816,$124.75M
