Symbol,MarketCap,MarketCapFormatted
RVMD,13097416704,$13.10B
NDSN,13095856128,$13.10B
REG,13038128128,$13.04B
PFF,12923828224,$12.92B
EXAS,12834765824,$12.83B
BBIO,12793937920,$12.79B
WYNN,12789901312,$12.79B
AKAM,12756530176,$12.76B
GLPI,12627832832,$12.63B
ASND,12613713920,$12.61B
VTRS,12565809152,$12.57B
ENTG,12288696320,$12.29B
ACGLO,12274023424,$12.27B
GH,12256249856,$12.26B
ZBRA,12239012864,$12.24B
VNOM,12115276800,$12.12B
MTSI,12101582848,$12.10B
TEM,12087019520,$12.09B
MDGL,12019110912,$12.02B
PAA,11951132672,$11.95B
CSB,11708018688,$11.71B
TSEM,11659766784,$11.66B
EXEL,11351824384,$11.35B
CELH,11345131520,$11.35B
BILI,11327324160,$11.33B
FRMI,11230525440,$11.23B
TXRH,11117495296,$11.12B
SAIL,11088174080,$11.09B
AGNC,10888148992,$10.89B
CART,10776977408,$10.78B
COKE,10756158464,$10.76B
RNA,10671608832,$10.67B
GLXY,10640225280,$10.64B
BMRN,10514417664,$10.51B
STRL,10403422208,$10.40B
ENSG,10304239616,$10.30B
RMBS,10253675520,$10.25B
BPYPP,10163546112,$10.16B
MBLY,10139623424,$10.14B
SWKS,10132456448,$10.13B
SEIC,10076795904,$10.08B
XP,10040327168,$10.04B
ALGN,10003384320,$10.00B
BZ,9855370240,$9.86B
TTEK,9779647488,$9.78B
MRNA,9752712192,$9.75B
TLT,9749039104,$9.75B
MKSI,9679793152,$9.68B
PEGA,9648740352,$9.65B
FYBR,9470285824,$9.47B
TECH,9462434816,$9.46B
GGAL,9347809280,$9.35B
CPB,9315128320,$9.32B
DRS,9268371456,$9.27B
POOL,9160766464,$9.16B
PPC,8943662080,$8.94B
APPF,8859620352,$8.86B
MORN,8800825344,$8.80B
NVMI,8794458112,$8.79B
APA,8792251392,$8.79B
OTEX,8766414848,$8.77B
SANM,8750410752,$8.75B
AGNCM,8723848192,$8.72B
AGNCN,8709917696,$8.71B
AAL,8627330048,$8.63B
DUOL,8623251456,$8.62B
FRHC,8602756096,$8.60B
WTFC,8592400384,$8.59B
ABVX,8591534080,$8.59B
RGEN,8577020928,$8.58B
SFD,8518788608,$8.52B
DOX,8473659904,$8.47B
TIGO,8419411456,$8.42B
RGTI,8409064448,$8.41B
