Symbol
PSTG
SATS
UTHR
CASY
TWLO
GWRE
RBA
SGI
ILMN
NTNX
BURL
ACM
THC
NVT
MEDP
TLN
LITE
BWXT
USFD
RGLD
XPO
TRU
WMG
WWD
APG
MTZ
RYAN
PFGC
WPC
OKTA
AVAV
NBIX
ITT
ROIV
RS
JLL
WSO
NXT
RPM
RBC
ATI
GGG
AMH
OHI
BSY
CACI
LAMR
UNM
TOL
HLI
GLPI
WCC
RGA
LECO
BJ
SF
RNR
SNX
KTOS
VNOM
ALLY
MTSI
AFG
BLD
MLI
WMS
JEF
WTRG
GMED
SCI
TXRH
PR
ORI
PEN
AYI
MANH
AR
PAG
BMRN
NYT
MP
ARMK
SEIC
OVV
AA
REXR
TTEK
MKSI
PEGA
FYBR
AIT
GME
ALV
GTLS
WBS
KNSL
RRX
PSN
WTS
OGE
RRC
GAP
SSB
PPC
PLNT
APPF
LSCC
MORN
HQY
AM
AAL
JAZZ
WAL
WTFC
RGEN
ADC
BIO
OC
HALO
WLK
UMBF
HIMS
MASI
ONB
BRX
PRI
PCTY
AVTR
SFM
AGCO
AMKR
ATR
OSK
VMI
NNN
AAON
OLLI
ZION
UGI
NEU
STAG
NFG
HLNE
AMG
LAD
VNO
SAIA
CADE
KNX
CBSH
LNW
AN
TTC
IDA
PNFP
SSD
R
INGR
STWD
VOYA
JHG
ORA
WING
SNV
THG
HR
ONTO
PB
BRKR
AXTA
BYD
MTG
TXNM
MSA
MAT
VLY
MIDD
LFUS
VFC
KEX
KD
SWX
TMHC
RLI
POST
SLM
NOV
GXO
ARW
POR
HRB
CAVA
LEA
NXST
OLED
GBCI
HXL
WH
TKR
M
KBR
HOMB
MTN
BKH
LPX
THO
UFPI
VNT
SR
WFRD
MTDR
QLYS
UBSI
GNTX
BILL
MSM
KRG
KRC
OZK
OGS
HWC
ALK
CAR
WEX
SIGI
GPK
BCO
LOPE
ALGM
NJR
SBRA
GHC
OPCH
SHC
MMS
BBWI
PBF
ST
BDC
LSTR
MUR
NSA
ASB
BC
SAIC
IBOC
TNL
SON
SLGN
SLAB
VVV
IRT
KNF
NWE
VAL
WHR
ALE
TCBI
KBH
NOVT
AVT
PVH
BHF
PII
LNTH
TREX
IPGP
RYN
BRBR
HGV
SMG
ANF
CBT
NVST
GTM
PCH
GEF
LIVN
TEX
RH
YETI
BLKB
VC
AVNT
SYNA
ASH
OLN
KMPR
XRAY
GT
SAM
PK
UAA
UA
POWI
PRGO
ASGN
IRDM
VAC
NSP
